episode_index,building,collector_id,language_instruction,language_instruction_2,language_instruction_3,is_episode_successful,task_index
8309,BAIR,5d05c5aa,Take the toy tiger from the table and place it in the black bowl,Take the toy tiger from the table and put it in the black bowl,Put the stuffed tiger in the bowl,true,5520
8358,BAIR,5d05c5aa,"","","",false,0
8490,Autolab,5d05c5aa,Take the cable out of the plastic bag,Remove the cable from the plastic,Remove the cables from the plastic bag put them on the table,true,5634
8521,BAIR,5d05c5aa,"","","",false,0
8530,Autolab,5d05c5aa,Put the black object in the cream box,Put the cable in front of the grey object in the grey object,Put the multi USB cable in the grey box,true,5658
8570,Autolab,5d05c5aa,"","","",false,0
8597,Autolab,5d05c5aa,"","","",false,0
8668,Autolab,5d05c5aa,"Pick up the plastic and grey object from the right side of the counter and place them inside the topmost drawer, push the drawer closed",Put the plastic and gray object in the first top drawer and close the drawer,Pick up the lighter and the green plastic and place them in the topmost drawer,true,5732
8688,BAIR,5d05c5aa,"","","",false,0
8711,Autolab,5d05c5aa,Put the blocks inside the black bowl.,Put the four building blocks inside the black bowl.,"Put the blue, yellow, green and red lego bricks in the bowl",true,5760
8735,Autolab,5d05c5aa,"Pick up the flash disk from the table, put it in the drawer and close the drawer.",Pick up the object on the table and put it in the drawer and close it,"Put the grey object in the first top drawer, then close the drawer",true,5778
8783,BAIR,5d05c5aa,Set the rope along the middle of the black object,Set the rope along the middle of the black object,Put the rope along the center of the black object,true,5813
8795,Berkeley Way West,5d05c5aa,Put the objects on the table into the plastic bag.,Put the items on the table in the white plastic bag.,Place all the objects inside the plastic carrier bag,true,5819
8829,Autolab,5d05c5aa,"","","",false,0
8886,BAIR,5d05c5aa,"","","",false,0
8889,Autolab,5d05c5aa,"","","",false,0
9048,Autolab,5d05c5aa,Pick up the black cable and put it in the tool box,Place the object inside the box ahead of it,Put the multi USB cable in the adjacent grey box,true,359
9091,Autolab,5d05c5aa,"","","",false,0
9135,BAIR,5d05c5aa,"","","",false,0
9186,Autolab,5d05c5aa,"","","",false,0
9203,Berkeley Way West,5d05c5aa,"","","",false,0
9210,BAIR,5d05c5aa,"","","",false,0
9250,BAIR,5d05c5aa,Stack the cups together,Stack the blue and orange cups into the yellow cup,Stack up the cups,true,228
9272,Autolab,5d05c5aa,Put the grey object inside the drawer then close the drawer.,Put the grey object inside the open drawer then close the drawer.,Close the drawer,true,6084
9286,Autolab,5d05c5aa,Put the bottles on the tray,Put the items surrounding the plate on the plate,Put the objects on the table on the plate,true,3526
9325,BAIR,5d05c5aa,Put the rope on the skate then press on it,Put the rope on the skate then press on it,Install the rope in the object,true,6113
9412,Autolab,5d05c5aa,"Pick up the green, yellow, blue and red objects and put them in the bowl",Put the blocks in the bowl,Put the blocks in the bowl,true,6157
9578,BAIR,5d05c5aa,Stack the cups,Stack the four colourless cups together,Place the cups inside each other,true,1388
9594,BAIR,5d05c5aa,Stack the cups into the blue cup,Stack the cups into the blue cup,Take the yellow cup and place it in the blue cup then put the orange cup in the yellow cup,true,6281
9616,Autolab,5d05c5aa,Put the multi USB charging cable in the storage drawer,Put the cable in the cable box,Put the multi USB cable in the grey box,true,6299
9707,Berkeley Way West,5d05c5aa,"Take the containers, deer plush toy and red ball out of the white plastic bag",Remove the objects in the plastic and put them on the table,Put the items in the plastic bag on the table,true,6359
9818,BAIR,5d05c5aa,Put the green block in the black bowl,Pick up the green block and put it in the bowl,Put the green block in the bowl,true,1209
9978,Berkeley Way West,5d05c5aa,Remove the objects in the plastic and put them on the table,"Take the moose, containers and strawberry out of the plastic bag.",Remove all the objects from the plastic carrier bag and place them on the table,true,6516
10199,BAIR,5d05c5aa,Stack the cups on the table,Stack up the plastic cups.,Stack the colourless cups together,true,2404
10204,Autolab,5d05c5aa,Pick up all the objects surrounding the white plate and arrange them on the plate,Put the containers and strawberry toy on the plate.,Put the objects on the table onto the tray,true,3475
10225,Berkeley Way West,5d05c5aa,Pick the objects on the table in the plastic bag,"Put the containers, strawberry and plush moose inside the plastic bag.",Pick up all the objects from the table and put them in the plastic,true,6662
10282,Autolab,5d05c5aa,"","","",false,0
10339,Autolab,5d05c5aa,Pick up the black cable and put it in the tool box,Put the black cable in the storage box,Put the cable in the toolbox.,true,359
10491,BAIR,5d05c5aa,Put the block in the bowl,Pick up the green cube and put it in the bowl,Put the green block in the black bowl,true,2630
10534,Autolab,5d05c5aa,Put all the containers and the orange plushie that are around the white plate on the white plate,Pick up all the objects around the plate and put them on the plate,Put the objects on the tray,true,6854
10581,BAIR,5d05c5aa,Take the lid from the table and put it on the kettle,Cover the teapot,Close the lid on the tea pot,true,6880
10670,Autolab,5d05c5aa,"","","",false,0
10697,Autolab,5d05c5aa,"","","",false,0
10765,Autolab,5d05c5aa,"","","",false,0
10879,Berkeley Way West,5d05c5aa,Remove the contents from the white plastic bag and put them on the table,Empty the plastic,Put the item in the plastic bag on the table,true,7055
10880,BAIR,5d05c5aa,Pick up the orange cup and pour the contents into the black bowl,Pour the contents in the orange cup into the black bowl,Pour the contents from the orange cup into the bowl,true,7056
10884,Autolab,5d05c5aa,Pick up the objects from the table and put them on the white plate.,Put the bottles and the strawberry plushie on the white plate,"Place the play dough containers, the white bottles, the jar and the red object onto the plate",true,7059
10955,Autolab,5d05c5aa,Pick up the yellow cable and put it in the storage object,Put the yellow cable inside the compartment,Put the yellow cable in the storage box,true,1884
11003,BAIR,5d05c5aa,Stack the cups,Stack up the cups on the table,Stack the cups,true,1388
11075,Autolab,5d05c5aa,"","","",false,0
11099,BAIR,5d05c5aa,Pick up the white rope and put it in between the black object.,Align the rope with the black object,Straighten the rope in the groove,true,7185
11106,BAIR,5d05c5aa,Put the green thing in the black bowl,Put the green block in the black bowl,Put the green block inside the black bowl,true,7192
11133,BAIR,5d05c5aa,Pick the lid on the table and put it on the kettle,Pick up the lid and put it on the kettle,Pick up the lid from the table and put it on the kettle.,true,1933
11142,BAIR,5d05c5aa,Put the rope on the black thing,Lay the white rope on the board,Set the rope along the middle of the black object,true,1116
11150,BAIR,5d05c5aa,Put the silver lid on the kettle,Put the lid on the kettle,Pick the cover and put it on the teapot,true,7219
11154,Autolab,5d05c5aa,Put the black cable in the box,Pick up the black cable and put it in the gray storage box,Place the black cable into the box,true,7221
11213,BAIR,5d05c5aa,Pour the contents in the grey measuring cup into the pink bowl,Pour the contents of the pot into the bowl,Pour the contents from the gray pot into the bowl,true,7259
11216,BAIR,5d05c5aa,"","","",false,0
11225,Autolab,5d05c5aa,Pick the cable and put it in the box,Put the cable in the tool box.,Place the black cable in the grey object behind it,true,5335
11405,BAIR,5d05c5aa,Pick up the white rope and arrange it neatly on the board,Arrange the rope on the board,Align the rope in its slot along the object,true,7370
11489,Autolab,5d05c5aa,"","","",false,0
11495,Berkeley Way West,5d05c5aa,"","","",false,0
11575,Autolab,5d05c5aa,Put the yellow cable into the compartment.,Place the yellow cable into the box ahead of it,Put the yellow cord in the grey toolbox.,true,7475
11586,Autolab,5d05c5aa,Put the white object into the cream box,Put the white tool in the box,Pick up the white cable and put it in the storage box,true,7484
11588,Autolab,5d05c5aa,"","","",false,0
11609,BAIR,5d05c5aa,Put the green block inside the black bowl,Pick up the object from the table and put it in the bowl,Pick up the block and put it in the bowl,true,801
11653,Berkeley Way West,5d05c5aa,Remove all the contents from the white plastic bag one at a time and put them on the table,Move the items in the plastic to the table,Remove all the objects from the plastic bag and put them on the table,true,7524
11676,BAIR,5d05c5aa,"","","",false,0
11694,Autolab,5d05c5aa,"","","",false,0
11749,Autolab,5d05c5aa,"Pick up two objects from the table, put them in the open drawer and close it",Put the green and white plastic and grey object inside the open drawer then close the drawer.,Pick up two objects on the table and put them in the drawer and close it,true,7581
11862,Autolab,5d05c5aa,"","","",false,0
11879,Autolab,5d05c5aa,"","","",false,0
11895,Autolab,5d05c5aa,"","","",false,0
11923,BAIR,5d05c5aa,Place the silver lid on the silver teapot,Place the silver lid on the kettle,Pick the lid and close the teapot,true,7677
11936,BAIR,5d05c5aa,Pick up the object and put it in the bowl,Pick up the object on the table and put it in the bowl,Put the green block inside the bowl,true,7684
12014,BAIR,5d05c5aa,Stack the cups from blue to yellow to orange,Stack the cups,Take the blue cup and place it in the yellow cup then take both cups and put them in the orange cup,true,7728
12019,BAIR,5d05c5aa,Put the green thing in the black bowl,Put the block in the bowl,Put the green block inside the black bowl,true,7192
12095,BAIR,5d05c5aa,"","","",false,0
12110,Autolab,5d05c5aa,Put the black into the cable.,Put the black cable in the storage box,Put the black cable in the toolbox.,true,7792
12149,Autolab,5d05c5aa,"","","",false,0
12161,Autolab,5d05c5aa,Remove the cables from the plastic bag and put them on the table,Take the cable out of the plastic bag,Pick up the cable from the plastic and put it on the table,true,7826
12346,Autolab,5d05c5aa,"","","",false,0
12450,BAIR,5d05c5aa,Put the marker in the pot,Put the marker in the pot,Put the marker into the pot,true,13
12458,BAIR,5d05c5aa,Pour the contents in the grey measuring cup into the pink bowl,Pour the contents in the jar into the orange bowl,Move the objects from the scoop and put them in the bowl,true,7259
12476,BAIR,5d05c5aa,Stack the cups together,Arrange the cups on the table,Stack up the cups,true,228
12578,Autolab,5d05c5aa,Pull out the cable from the plastic and place it on the table,Remove the cable from the plastic bag,Pull out the cable from the plastic,true,8071
12621,BAIR,5d05c5aa,"","","",false,0
12624,BAIR,5d05c5aa,Put the block in the bowl,Put the green block in the bowl,Pick up the green block from the table and put it in the black bowl.,true,2630
12628,BAIR,5d05c5aa,"","","",false,0
12675,BAIR,5d05c5aa,Put the block in the bowl,Put the green block in the bowl,Pick up the object from the table and put it in the bowl,true,2630
12759,Autolab,5d05c5aa,Put the grey cable inside the tool box,Place the object into the box ahead of it,Put the black cable in the storage box,true,8159
12810,Autolab,5d05c5aa,"","","",false,0
12848,BAIR,5d05c5aa,Pick up the white rope and put it in between the black object.,Straighten out the rope on the platform,Set the white rope straight on the black object,true,7185
12945,Berkeley Way West,5d05c5aa,Remove all the contents from the white plastic bag and put them on the table one at a time,Remove the objects in the plastic bag and put them on the table,Remove the contents in the plastic and put them on the table,true,8270
12971,Autolab,5d05c5aa,"","","",false,0
13028,Autolab,5d05c5aa,Put the black cable on the first shelf inside the tool box,Place the black cable in the grey object behind it,Put the cable in the cable box,true,8320
13033,Autolab,5d05c5aa,"","","",false,0
13035,Autolab,5d05c5aa,"","","",false,0
13045,Autolab,5d05c5aa,"","","",false,0
13072,Autolab,5d05c5aa,"","","",false,0
13095,Autolab,5d05c5aa,Put the black cable inside the tool box on the first shelf,Pick up the black cable and put it in the box,Place the black cable into the box ahead of it,true,8357
13106,BAIR,5d05c5aa,Put the square into the bowl.,Pick up the object from the table and put it in the bowl,Pick up the green block from the table and put it in the black bowl.,true,6870
13125,Autolab,5d05c5aa,Put all the objects surrounding the plate onto the plate.,Put everything on the table on the plate,Pick up all the objects from the plate and put them on the plate,true,8371
13168,BAIR,5d05c5aa,Pour the contents of the orange cup into the black bowl,Pour the contents of the cup into the bowl,Pour the contents of the orange cup into the black bowl,true,8399
13317,Autolab,5d05c5aa,Put the objects on the table on to the plate.,"Put the bottles and containers around the plate on the plate, place the strawberry on the plate.",Place the items closest to the plate on the plate,true,8488
13468,Autolab,5d05c5aa,Put the two white objects on the right in the top drawer of the dresser,Place white masking tape and plastic into the open cabinet drawer and close the drawer,Put the white masking tape and plastic inside the open drawer then close the drawer.,true,8578
13584,BAIR,5d05c5aa,Stack the clear cups into each other,Stack the four cups together,Stack the cups on the table,true,8645
13587,BAIR,5d05c5aa,"","","",false,0
13718,Autolab,5d05c5aa,Pick up the black cable and put it in the tool box,"Place the cable, currently in front of the toolbox, inside the toolbox",Place the black cable on the top shelf inside the toolbox.,true,359
13785,Autolab,5d05c5aa,"","","",false,0
13832,Autolab,5d05c5aa,"","","",false,0
13865,Autolab,5d05c5aa,"","","",false,0
13879,BAIR,5d05c5aa,"","","",false,0
13887,BAIR,5d05c5aa,"","","",false,0
13901,Autolab,5d05c5aa,"","","",false,0
14013,Autolab,5d05c5aa,"","","",false,0
14046,Berkeley Way West,5d05c5aa,"","","",false,0
14103,Berkeley Way West,5d05c5aa,Put the object on the table in the plastic bag,"Put the containers, strawberry and brown moose inside the plastic bag.",Pick up all the objects and put them in the plastic,true,8956
14122,Berkeley Way West,5d05c5aa,Remove the things from the plastic bag and put them on the table,"Remove the brown moose, containers and strawberry from the plastic bag and put them on the tabletop.",Remove the objects from the plastic,true,377
14165,Autolab,5d05c5aa,Remove the cable from the plastic,Remove the cable from plastic bag,Remove the cable from the plastic,true,2625
14170,Autolab,5d05c5aa,"","","",false,0
14196,BAIR,5d05c5aa,Pour the content of the orange cup in the black bowl,Put the contents in the orange cup into the black bowl,Pour the contents of the orange cup into the black bowl,true,9006
14208,Berkeley Way West,5d05c5aa,"","","",false,0
14237,BAIR,5d05c5aa,Take the lid and cover the teapot,Pick the lid on the table and put it on the kettle,Place the lid on the teapot,true,9031
14355,BAIR,5d05c5aa,Place the lid on the teapot,Place the lid on the teapot,Put the lid on the metal teapot,true,7983
14375,BAIR,5d05c5aa,"","","",false,0
14394,Autolab,5d05c5aa,Put the yellow cable in the tool box,Put the yellow cable in the caddy directly behind it,Put the yellow cable in the storage box,true,9128
14469,BAIR,5d05c5aa,Pick this stuffed tiger and place it in the bowl,Put the tiger plush toy inside the black bowl,Pick up the tiger plush toy and put it in the black bowl,true,9171
14539,BAIR,5d05c5aa,Put the green block inside the black bowl,Put the block in the bowl,Put the green box in the bowl,true,801
14662,Autolab,5d05c5aa,Put the white cable in the storage box,Pick up the white object and put it in the storage box on the top shelve,Place the white object into the box ahead of it,true,9292
14702,Autolab,5d05c5aa,"","","",false,0
14713,BAIR,5d05c5aa,Stack the cups into the middle cup,Put the cups in one cup,Put the cups into each other,true,9318
14730,BAIR,5d05c5aa,Put the block in the bowl,Take the green block from the table and place it in the black bowl,Place the green block inside the black bowl,true,2630
14761,Berkeley Way West,5d05c5aa,Pick up the objects from the plastic bag and put it on the table.,Take the containers and strawberry plush toy out of the plastic bag and place them on the tabletop,Pick up all the objects from the plastic and put them on the table,true,9347
14774,Berkeley Way West,5d05c5aa,"Place the three containers inside the white plastic, pull up the plastic bag",Pick up all the items on the table in the open plastic and pull the plastic,Pick up all the objects and put them in the plastic bag,true,9353
14794,BAIR,5d05c5aa,"","","",false,0
14850,BAIR,5d05c5aa,Put the tiger toy in the black bowl,Put the tiger toy inside the black bowl,Pick up the toy and put it in the bowl,true,9395
14854,Autolab,5d05c5aa,"","","",false,0
14937,Autolab,5d05c5aa,"","","",false,0
15063,Autolab,5d05c5aa,Pick up the white object and put it in the tool box,Pick up the object on the top shelf and put it in the gray storage box,Put the white cable in the grey box,true,2533
15092,Autolab,5d05c5aa,"","","",false,0
15185,Berkeley Way West,5d05c5aa,Put the objects on the table in the plastic bag,Put all the items on the table in the plastic,Put the items on the table in the plastic bag,true,734
15249,Autolab,5d05c5aa,"","","",false,0
15265,Berkeley Way West,5d05c5aa,"","","",false,0
15467,Autolab,5d05c5aa,"","","",false,0
15490,BAIR,5d05c5aa,Pick up the green cube and put it in the bowl,Put the green cube in the black bowl,Put the green block in the black bowl,true,5429
15503,BAIR,5d05c5aa,Pick up the lid and place it on the teapot,Put the lid on the kettle,Pick the lid on the table and place it on the kettle,true,9783
15542,BAIR,5d05c5aa,Place the green block in the bowl,Pick up the green object and put it in the bowl,Put the green block in the bowl,true,9806
15641,BAIR,5d05c5aa,"","","",false,0
15655,BAIR,5d05c5aa,Put the block in the bowl,Put the block in the bowl,Put the block in the bowl,true,2630
15749,BAIR,5d05c5aa,Stack the cups together,Stack the cups together,Stack the three clear cups together,true,228
15833,BAIR,5d05c5aa,Align the rope with the black object.,Stretch out the rope on the wooden platform,Put the white rope on the black board.,true,9988
15843,BAIR,5d05c5aa,Lay the white rope on the black board,Put the rope on the skate,Set the rope along the middle of the black board,true,9996
15847,Berkeley Way West,5d05c5aa,Pick the objects on the table and put them in the plastic bag,Place all the items in the plastic,Put the items on the table in the plastic bag,true,10000
15883,Autolab,5d05c5aa,"","","",false,0
15988,Autolab,5d05c5aa,Pick up the yellow cable and put it in the tool box,Put the cable in the cable box,Put the yellow cable in the white storage box,true,10086
15993,BAIR,5d05c5aa,Put the green block into the black bowl,Put the green block in the black bowl,Put the green block inside the black bowl,true,10091
16033,Autolab,5d05c5aa,Put the objects surrounding the plate on to the plate.,Put the objects on the tray,Put the bottles and strawberry plushie that are around the white plate on the white plate,true,10113
16183,BAIR,5d05c5aa,"","","",false,0
16192,Autolab,5d05c5aa,"","","",false,0
16223,Berkeley Way West,5d05c5aa,"Put the containers, reindeer toy and green block inside the white plastic bag",Put all the items on the table in the plastic,Put the objects on the table in the plastic bag,true,10225
16305,Autolab,5d05c5aa,Put the containers on the white plate,Put the containers and strawberry toy on top of the white plate.,Put the bottle and the strawberry plushie on the white plate,true,10279
16328,Autolab,5d05c5aa,Pick up all the objects surrounding the white plate and arrange them on the plate,Put the strawberry and containers on top of the white plate.,Put the bottles and the strawberry plushie on the white plate,true,3475
16373,Autolab,5d05c5aa,"","","",false,0
16388,Autolab,5d05c5aa,"","","",false,0
16459,BAIR,5d05c5aa,Put the green cube inside the black bowl,Put the green block inside the bowl,Take the green block and place it in the black bowl,true,10365
16508,Berkeley Way West,5d05c5aa,Remove all the contents from the white plastic bag and put them on the table,Put the items in the plastic bag on the table,Move the items in the plastic to the table,true,3670
16564,BAIR,5d05c5aa,Put the orange and yellow squares into the bowl,Put the orange and yellow blocks inside the black bowl.,Pick up the orange and yellow objects and put them in the bowl,true,10414
16590,Autolab,5d05c5aa,Remove the cables from the plastic bag and put them on the table,Pick up the cable from the plastic and put it on the table,Pull the black cable from the plastic bag.,true,7826
16610,Autolab,5d05c5aa,Place the containers and orange plush toy on the white plate,Place the items nearest to the plate on the plate,Put the items on the table on the plate,true,10441
16641,BAIR,5d05c5aa,"","","",false,0
16717,BAIR,5d05c5aa,Put the green block in the black bowl,Pick up the green block from the table and put it in the black bowl.,Pick up the green object from the table and put it in the bowl,true,1209
16742,BAIR,5d05c5aa,"","","",false,0
16756,BAIR,5d05c5aa,"","","",false,0
16799,Autolab,5d05c5aa,Put the black cable on the top shelf in the tray behind it,Put the black cord in the toolbox.,Put the black cable in the storage box,true,10550
16802,BAIR,5d05c5aa,Pour the coins from the cup into the bowl,Pour the contents of the orange cup into the black bowl,Pour the contents from the orange cup into the bowl,true,10552
16870,BAIR,5d05c5aa,Align the rope along the ridge of the black object,Put the rope straight on the skate,Straighten out the rope on the platform,true,10592
16904,BAIR,5d05c5aa,Stack all three clear cups together,Stack the clear cups in the cup on the left,Retrieve the clear cups from the table and stack them together,true,10611
17035,BAIR,5d05c5aa,Pick up the green cube and put it in the black bowl,Put the green block inside the black bowl,Put the block in the bowl,true,10681
17043,BAIR,5d05c5aa,"","","",false,0
17073,BAIR,5d05c5aa,"","","",false,0
17105,BAIR,5d05c5aa,Pick up the three cups from the table and put them in the black bowl. Pick up the folk from the table and put it in the cups.,Pick up the cups and folk from the table and put them in the black bowl.,Stack the cups inside the bowl,true,10718
17119,Autolab,5d05c5aa,"","","",false,0
17138,BAIR,5d05c5aa,Stack the cups from right to left,Stack the clear cups together,Stack the cups,true,10737
17145,Autolab,5d05c5aa,"","","",false,0
17156,BAIR,5d05c5aa,Cover the teapot with the silver lid,Place the silver lid on top of the silver kettle,Put the lid on the kettle,true,10748
17163,Autolab,5d05c5aa,"","","",false,0
17202,Autolab,5d05c5aa,Place the yellow cable on the first shelf inside the toolbox,Put the yellow cable in the grey object behind it,Put the cable in the box of cables,true,10776
17234,Autolab,5d05c5aa,"","","",false,0
17242,BAIR,5d05c5aa,Put the green square into the black bowl.,Put the green block in the bowl,Put the green cube in the bowl,true,10796
17259,BAIR,5d05c5aa,Stack the clear cups together,Stack the clear cups together,Put the cups one inside the other,true,4446
17264,Autolab,5d05c5aa,"","","",false,0
17283,BAIR,5d05c5aa,Place the lid on the teapot,Put the silver lid on top of the silver kettle,Close the tea pot with the small lid,true,7983
17338,BAIR,5d05c5aa,"","","",false,0
17438,BAIR,5d05c5aa,"","","",false,0
17454,BAIR,5d05c5aa,Pick the green block and put it in the bowl,Put the green block in the bowl,Pick up the green object from the table and put it in the bowl,true,10917
17463,BAIR,5d05c5aa,"","","",false,0
17523,BAIR,5d05c5aa,"","","",false,0
17536,BAIR,5d05c5aa,Put the white rope in the hole on the black object,Lay the rope on the black object,Align the white rope along the center of the black beam,true,10963
17588,BAIR,5d05c5aa,"","","",false,0
17596,Autolab,5d05c5aa,Put the bottles on the tray,Place the small items around the plate on the plate,"Place the green can, the white bottles, the jar with the orange lid, the play dough containers and the red object onto the white plate",true,3526
17603,Autolab,5d05c5aa,Put the plush toy and all the containers on the white plate,Put the strawberry and containers on the white plate.,Put the objects on the tray,true,11003
17643,BAIR,5d05c5aa,"","","",false,0
17706,Autolab,5d05c5aa,"","","",false,0
17735,BAIR,5d05c5aa,"","","",false,0
17780,BAIR,5d05c5aa,Pick the block and put it in the bowl,Place the green block in the bowl,Pick up the green block from the table and put it in the bowl.,true,11108
17827,BAIR,5d05c5aa,"","","",false,0
17910,Berkeley Way West,5d05c5aa,Put all the objects in the white plastic bag,"Put the strawberry, moose and containers inside the plastic bag.",Put all the objects on the table in the plastic,true,11179
17912,BAIR,5d05c5aa,Pick up the lid and put it on the kettle,Put the silver lid on the silver kettle,Cover the kettle with the lid on the table,true,11181
17997,Autolab,5d05c5aa,"","","",false,0
18046,Autolab,5d05c5aa,"","","",false,0
18099,BAIR,5d05c5aa,Pack the cups in the tower form,Stack the 3 cups together,Stack up the cups,true,11282
18107,Autolab,5d05c5aa,"","","",false,0
18114,Autolab,5d05c5aa,"","","",false,0
18148,Autolab,5d05c5aa,Pick up the black cable and put it in the box.,Pick up the black cable and put it in the gray storage box,Put the black cable in the grey box,true,11311
18196,BAIR,5d05c5aa,"","","",false,0
18234,Autolab,5d05c5aa,"","","",false,0
18344,Autolab,5d05c5aa,Put the black cable in the compartment.,Pick up the black cable and put it in gray storage box,Pick up the cable and put it in the tool box,true,1754
18373,Autolab,5d05c5aa,"","","",false,0
18428,BAIR,5d05c5aa,Cover the silver teapot with a silver lid,Place the lid on the teapot,Pick up the lid off the table and place it on the kettle.,true,11454
18438,BAIR,5d05c5aa,Put the lid on the teapot,Put the lid on the silver pot,Pick up the lid from the table and put it on the kettle,true,11462
18515,Berkeley Way West,5d05c5aa,Put the objects on the table in the plastic,Put the items on the table in the plastic,Put the objects that are on the table in the plastic,true,11502
18587,Autolab,5d05c5aa,"","","",false,0
18589,BAIR,5d05c5aa,"","","",false,0
18605,Autolab,5d05c5aa,Remove the cables from the plastic bag and put them on the table,Remove the contents in the plastic,Empty the plastic,true,7826
18712,BAIR,5d05c5aa,"","","",false,0
18729,Autolab,5d05c5aa,Pick up all the items surrounding the white plate and arrange them on the plate,Pick up all the objects around the plate and put them on the plate,Put the contents on the table onto the plate,true,11611
18836,Autolab,5d05c5aa,"","","",false,0
18900,BAIR,5d05c5aa,Stack the cups together,Stack the three cups together,Stack the cups,true,228
18902,Berkeley Way West,5d05c5aa,Pick up all the objects from the plastic and put them on the table,Empty the plastic,Remove all the objects from the plastic carrier bag and place them on the table,true,11714
18948,Autolab,5d05c5aa,Put the multi USB charging cable in the gray box,Place the object inside the box ahead of it,Put the black cable on the top shelf inside the grey toolbox.,true,11736
18979,BAIR,5d05c5aa,Put the cups one inside the other,Stack the four cups into each other,Stack the clear cups into each other,true,4097
19002,Autolab,5d05c5aa,Put the bottles and the orange object on the plate,Put the bottles and strawberry on the white plate.,Put everything on the table on the plate,true,11771
19038,Autolab,5d05c5aa,"","","",false,0
19048,Berkeley Way West,5d05c5aa,Pick the object in the plastic bag and put them on the table,Put the items in the plastic bag on the table,Remove all the objects from the plastic bag and put them on the table,true,11796
19051,Autolab,5d05c5aa,"","","",false,0
19136,Autolab,5d05c5aa,Put the black cable inside the compartment.,Put the black cord inside the grey toolbox on the first shelf.,Pick up the black cable and put it in the box,true,11848
19247,BAIR,5d05c5aa,Set the rope along the middle of the black object,Align the rope with the groove on the object,Straighten out the rope along the length of the black object,true,5813
19292,Autolab,5d05c5aa,Pick up all the objects surrounding the white plate and arrange them on the plate,"Stack the clear cups together, put the containers and strawberry on the white plate.","Place the clear plastic cups inside each other and place the play dough, the white bottles, the jar with the orange lid and the red object onto the white plate",true,3475
19326,Autolab,5d05c5aa,"","","",false,0
19418,Berkeley Way West,5d05c5aa,"","","",false,0
19456,Autolab,5d05c5aa,Put the cable in the storage box,Put the black cable in the grey object behind it,Put the cable in the cable box,true,689
19458,Autolab,5d05c5aa,"Pick up the orange, blue, green and yellow objects from the table and put them in the bowl",Place all the building blocks in the bowl,Put the blocks in the bowl,true,12016
19493,Autolab,5d05c5aa,"","","",false,0
19501,Autolab,5d05c5aa,"","","",false,0
19603,BAIR,5d05c5aa,Pour the contents in the grey pot into the pink bowl,Pour the contents of the measuring cup into the bowl,Pour the contents of the cup into the bowl,true,12104
19642,Autolab,5d05c5aa,Pack away the black cable.,Put the cable in the box,Put the black cable in the grey box,true,12127
19687,Autolab,5d05c5aa,"","","",false,0
19829,Autolab,5d05c5aa,Put the yellow cable in the storage box,Put the yellow cable in the storage box,Put the yellow cord inside the toolbox.,true,12235
19859,Autolab,5d05c5aa,Put the black cable in the compartment.,Pick up the black cable and put it in the box,Put the cables in the cable box,true,1754
19870,Autolab,5d05c5aa,Pick up all the objects surrounding the white plate and arrange them on the plate,Put the bottles and the strawberry plushie on the white plate,"Place the play dough containers, the white bottles, the jar , the red object and the blue bottle onto the white plate",true,3475
19894,Autolab,5d05c5aa,"","","",false,0
19911,Autolab,5d05c5aa,"","","",false,0
19936,Autolab,5d05c5aa,Put the black object and the tissue into the drawer then close it.,Put the two items on the desk in the drawer and close the drawer,Put two objects from the table into the drawer,true,12285
19993,Autolab,5d05c5aa,Put the yellow cable in the grey tray,Place the yellow cable in the grey object behind it,Put the cable in the cable box,true,12319
20033,Berkeley Way West,5d05c5aa,Pick up all the objects surrounding the white plate and arrange them on the plate,"Put the containers, strawberry and white box in the white plastic bag.",Put the objects on the table in the plastic bag,true,3475
20057,BAIR,5d05c5aa,Put the dark blue cup inside the black bowl then  stack the light blue cup then the orange cup into the dark blue cup and put the black fork in the orange cup,"Put the dark blue cup in the black bowl, place the light blue cup inside the dark blue cup then put the orange cup inside the light blue cup, put the fork inside the orange cup",Stack up the cups inside the bowl and put the fork in the topmost cup,true,12355
20063,BAIR,5d05c5aa,"","","",false,0
20070,BAIR,5d05c5aa,Pick the lid on the table and put it on the kettle,Put the silver lid on top of the silver kettle,Pick up the lid and place it on the kettle,true,1933
20143,BAIR,5d05c5aa,Put the green block in the cup,Put the green block in the blue cup,Put the green block in the blue cup,true,12405
20247,Autolab,5d05c5aa,Put the containers and strawberry toy on the white plate,Put the objects on the table onto the tray,Put the containers and the strawberry on the white plate.,true,12463
20336,Autolab,5d05c5aa,Put the toys into the bowl.,Put the building blocks inside the black bowl.,Place all the lego pieces inside the black bowl,true,12511
20452,Autolab,5d05c5aa,"","","",false,0
20459,Autolab,5d05c5aa,"","","",false,0
20552,Autolab,5d05c5aa,Pick up the yellow cable and put it in the tool box,Place the yellow cable in the grey object behind it,Pick up the yellow cable and put it in the gray storage box,true,10086
20564,BAIR,5d05c5aa,Put the string in the slot on the object,Put the rope on the skate,Pick up the white rope and put it in between the black object.,true,12642
20589,Autolab,5d05c5aa,"","","",false,0
20590,BAIR,5d05c5aa,Stack the three clear cups together,Stack the cups,Stack up the transparent cups,true,2539
20603,Berkeley Way West,5d05c5aa,"","","",false,0
20622,Autolab,5d05c5aa,Put the  cable in the storage box,Put the black cable in the grey box,Pick up the black cable and put it in the gray storage box,true,12675
20826,BAIR,5d05c5aa,"","","",false,0
